disease,disease_en,entity,entity_en,entity_type,relation,source_type,source_name,source_id,confidence
Bệnh tả,Cholera,,,,,ontology,ICD-10,A00,0.9
Bệnh thương hàn,Typhoid fever,,,,,ontology,ICD-10,A01,0.9
Viêm dạ dày ruột,Gastroenteritis,,,,,ontology,ICD-10,A09,0.9
Bệnh lao phổi,Tuberculosis,,,,,ontology,ICD-10,A15,0.9
Ho gà,Whooping cough,,,,,ontology,ICD-10,A37,0.9
Bệnh thủy đậu,Chickenpox,,,,,ontology,ICD-10,B01,0.9
Bệnh sởi,Measles,,,,,ontology,ICD-10,B05,0.9
Viêm gan A,Hepatitis A,,,,,ontology,ICD-10,B15,0.9
Viêm gan B,Hepatitis B,,,,,ontology,ICD-10,B16,0.9
Bệnh HIV/AIDS,HIV disease,,,,,ontology,ICD-10,B20,0.9
Ung thư dạ dày,Stomach cancer,,,,,ontology,ICD-10,C16,0.9
Ung thư đại tràng,Colon cancer,,,,,ontology,ICD-10,C18,0.9
Ung thư gan,Liver cancer,,,,,ontology,ICD-10,C22,0.9
Ung thư phổi,Lung cancer,,,,,ontology,ICD-10,C34,0.9
Ung thư vú,Breast cancer,,,,,ontology,ICD-10,C50,0.9
Ung thư tuyến tiền liệt,Prostate cancer,,,,,ontology,ICD-10,C61,0.9
Tiểu đường type 1,Type 1 diabetes,,,,,ontology,ICD-10,E10,0.9
Tiểu đường type 2,Type 2 diabetes,,,,,ontology,ICD-10,E11,0.9
Béo phì,Obesity,,,,,ontology,ICD-10,E66,0.9
Rối loạn lipid máu,Hyperlipidemia,,,,,ontology,ICD-10,E78,0.9
Trầm cảm,Depression,,,,,ontology,ICD-10,F32,0.9
Rối loạn lo âu,Anxiety disorder,,,,,ontology,ICD-10,F41,0.9
Bệnh Parkinson,Parkinson disease,,,,,ontology,ICD-10,G20,0.9
Bệnh Alzheimer,Alzheimer disease,,,,,ontology,ICD-10,G30,0.9
Động kinh,Epilepsy,,,,,ontology,ICD-10,G40,0.9
Đau nửa đầu,Migraine,,,,,ontology,ICD-10,G43,0.9
Viêm kết mạc,Conjunctivitis,,,,,ontology,ICD-10,H10,0.9
Đục thủy tinh thể,Cataract,,,,,ontology,ICD-10,H25,0.9
Tăng nhãn áp,Glaucoma,,,,,ontology,ICD-10,H40,0.9
Tăng huyết áp,Hypertension,,,,,ontology,ICD-10,I10,0.9
Đau thắt ngực,Angina pectoris,,,,,ontology,ICD-10,I20,0.9
Nhồi máu cơ tim,Myocardial infarction,,,,,ontology,ICD-10,I21,0.9
Suy tim,Heart failure,,,,,ontology,ICD-10,I50,0.9
Đột quỵ não,Stroke,,,,,ontology,ICD-10,I63,0.9
Bệnh trĩ,Hemorrhoids,,,,,ontology,ICD-10,I84,0.9
Cảm lạnh thông thường,Common cold,,,,,ontology,ICD-10,J00,0.9
Viêm họng,Pharyngitis,,,,,ontology,ICD-10,J02,0.9
Viêm amidan,Tonsillitis,,,,,ontology,ICD-10,J03,0.9
Viêm đường hô hấp trên,Upper respiratory infection,,,,,ontology,ICD-10,J06,0.9
Cúm,Influenza,,,,,ontology,ICD-10,J10,0.9
Viêm phổi,Pneumonia,,,,,ontology,ICD-10,J18,0.9
Viêm phế quản cấp,Acute bronchitis,,,,,ontology,ICD-10,J20,0.9
Bệnh phổi tắc nghẽn mãn tính,COPD,,,,,ontology,ICD-10,J44,0.9
Hen suyễn,Asthma,,,,,ontology,ICD-10,J45,0.9
Trào ngược dạ dày thực quản,GERD,,,,,ontology,ICD-10,K21,0.9
Loét dạ dày,Gastric ulcer,,,,,ontology,ICD-10,K25,0.9
Viêm dạ dày,Gastritis,,,,,ontology,ICD-10,K29,0.9
Viêm ruột thừa,Appendicitis,,,,,ontology,ICD-10,K35,0.9
Hội chứng ruột kích thích,IBS,,,,,ontology,ICD-10,K58,0.9
Xơ gan,Cirrhosis,,,,,ontology,ICD-10,K74,0.9
Sỏi mật,Gallstones,,,,,ontology,ICD-10,K80,0.9
Viêm da cơ địa,Atopic dermatitis,,,,,ontology,ICD-10,L20,0.9
Vẩy nến,Psoriasis,,,,,ontology,ICD-10,L40,0.9
Mề đay,Urticaria,,,,,ontology,ICD-10,L50,0.9
Mụn trứng cá,Acne,,,,,ontology,ICD-10,L70,0.9
Viêm khớp dạng thấp,Rheumatoid arthritis,,,,,ontology,ICD-10,M05,0.9
Bệnh gout,Gout,,,,,ontology,ICD-10,M10,0.9
Thoái hóa khớp gối,Knee osteoarthritis,,,,,ontology,ICD-10,M17,0.9
Thoát vị đĩa đệm,Disc herniation,,,,,ontology,ICD-10,M51,0.9
Đau lưng,Back pain,,,,,ontology,ICD-10,M54,0.9
Loãng xương,Osteoporosis,,,,,ontology,ICD-10,M81,0.9
Bệnh thận mãn,Chronic kidney disease,,,,,ontology,ICD-10,N18,0.9
Sỏi thận,Kidney stones,,,,,ontology,ICD-10,N20,0.9
Viêm bàng quang,Cystitis,,,,,ontology,ICD-10,N30,0.9
Phì đại tuyến tiền liệt,BPH,,,,,ontology,ICD-10,N40,0.9
,,Paracetamol,,drug,,database,local_drugs,,0.5
,,Ibuprofen,,drug,,database,local_drugs,,0.5
,,Amoxicillin,,drug,,database,local_drugs,,0.5
,,Azithromycin,,drug,,database,local_drugs,,0.5
,,Metformin,,drug,,database,local_drugs,,0.5
,,Amlodipine,,drug,,database,local_drugs,,0.5
,,Omeprazole,,drug,,database,local_drugs,,0.5
,,Atorvastatin,,drug,,database,local_drugs,,0.5
,,Losartan,,drug,,database,local_drugs,,0.5
,,Cetirizine,,drug,,database,local_drugs,,0.5
,,Salbutamol,,drug,,database,local_drugs,,0.5
,,Prednisolone,,drug,,database,local_drugs,,0.5
,,Diclofenac,,drug,,database,local_drugs,,0.5
,,Aspirin,,drug,,database,local_drugs,,0.5
,,Clopidogrel,,drug,,database,local_drugs,,0.5
Viêm gan A,Hepatitis A,Paracetamol,,drug,treated_by,heuristic,local_drug_indication_match,Paracetamol,0.6
Đau nửa đầu,Migraine,Paracetamol,,drug,treated_by,heuristic,local_drug_indication_match,Paracetamol,0.6
Đau thắt ngực,Angina pectoris,Paracetamol,,drug,treated_by,heuristic,local_drug_indication_match,Paracetamol,0.6
Đau lưng,Back pain,Paracetamol,,drug,treated_by,heuristic,local_drug_indication_match,Paracetamol,0.6
Viêm dạ dày ruột,Gastroenteritis,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Viêm gan A,Hepatitis A,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Viêm gan B,Hepatitis B,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Đau nửa đầu,Migraine,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Viêm kết mạc,Conjunctivitis,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Đau thắt ngực,Angina pectoris,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Viêm họng,Pharyngitis,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Viêm amidan,Tonsillitis,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Viêm đường hô hấp trên,Upper respiratory infection,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Viêm phổi,Pneumonia,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Viêm phế quản cấp,Acute bronchitis,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Viêm dạ dày,Gastritis,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Viêm ruột thừa,Appendicitis,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Viêm da cơ địa,Atopic dermatitis,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Viêm khớp dạng thấp,Rheumatoid arthritis,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
Đau lưng,Back pain,Ibuprofen,,drug,treated_by,heuristic,local_drug_indication_match,Ibuprofen,0.6
